Smell,Rule,ErrorType,RepoName,FilePath,Line,error_category,notes
UMM,R28,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,23,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,24,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,38,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,39,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,62,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,63,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,83,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,84,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,108,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FP,567-labs/instructor,tests/llm/test_genai/test_format.py,109,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,135,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,163,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,SafeRL-Lab/AccidentBench,lmms_eval/tasks/mathverse/mathverse_evals.py,47,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,53,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,Shubhamsaboo/awesome-llm-apps,advanced_ai_agents/single_agent_apps/ai_customer_support_agent/customer_support_agent.py,96,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
UMM,R28,FN,zilliztech/GPTCache,examples/processor/temperature_example.py,33,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,examples/logfire-fastapi/server.py,34,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,examples/logfire-fastapi/server.py,48,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,examples/logfire-fastapi/server.py,67,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,23,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,62,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,83,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,135,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,567-labs/instructor,tests/llm/test_genai/test_format.py,163,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,SafeRL-Lab/AccidentBench,lmms_eval/tasks/mathverse/mathverse_evals.py,47,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,brendanhogan/2025_advent_of_small_ml,src/day10/gepa_main.py,525,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,owadev777/EgoVLA_Release,VILA/tests/utils/client.py,9,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,owadev777/EgoVLA_Release,VILA/tests/utils/client.py,31,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,owadev777/EgoVLA_Release,VILA/tests/utils/client.py,47,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,owadev777/EgoVLA_Release,VILA/tests/utils/client.py,70,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,shell-nlp/gpt_server,tests/test_openai_chat.py,7,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
NSM,R27,FN,zilliztech/GPTCache,examples/processor/temperature_example.py,33,extra-file,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
RVP,R31,FN,owadev777/EgoVLA_Release,VILA/tests/utils/client.py,9,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
RVP,R31,FN,owadev777/EgoVLA_Release,VILA/tests/utils/client.py,47,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
OSP,R32,FN,brendanhogan/2025_advent_of_small_ml,src/day10/gepa_main.py,261,data-flow,Derived by comparing Ground_Truth_Manual_Annotation.csv with specDetect_results_by_repo.json.
